model,accuracy,precision,recall,threshold
KNeighborsUnif,0.3478,0.1259830120136635,0.3478,0.85
KNeighborsDist,0.3478,0.1259830120136635,0.3478,0.99
NeuralNetFastAI,0.7754,0.7813501564101836,0.7754,0.97
LightGBMXT,0.7413,0.7488996623276531,0.7413,0.95
LightGBM,0.7467,0.7546651617000402,0.7467,0.97
RandomForestGini,0.7491,0.7619174658109027,0.7491,0.65
RandomForestEntr,0.742,0.75712387841338,0.742,0.7
CatBoost,0.7575,0.7640395042548792,0.7575,0.9
ExtraTreesGini,0.735,0.7530927250877012,0.735,0.65
ExtraTreesEntr,0.7349,0.7511514851011729,0.7349,0.65
XGBoost,0.7538,0.7597867181452562,0.7538,0.95
NeuralNetTorch,0.7878,0.7940313210282423,0.7878,0.97
LightGBMLarge,0.7448,0.7519998225968889,0.7448,0.97
WeightedEnsemble_L2,0.7758,0.7855989161460327,0.7758,0.7
KNeighborsUnif,0.3503,0.1264080538489945,0.3503,0.85
KNeighborsDist,0.3503,0.126376614481409,0.3503,0.95
NeuralNetFastAI,0.7822,0.7877364672131105,0.7822,0.97
LightGBMXT,0.7501,0.7572007037620101,0.7501,0.95
LightGBM,0.7533,0.7594989421206485,0.7533,0.97
RandomForestGini,0.763,0.7740773839906163,0.763,0.65
RandomForestEntr,0.7545,0.7622646919581859,0.7545,0.65
CatBoost,0.7684,0.7736931515205884,0.7684,0.9
ExtraTreesGini,0.7471,0.7623017793591516,0.7471,0.65
ExtraTreesEntr,0.7464,0.7601483922929554,0.7464,0.65
XGBoost,0.7648,0.769959060588046,0.7648,0.95
NeuralNetTorch,0.7956,0.8000403926945205,0.7956,0.97
LightGBMLarge,0.7516,0.7580588609938632,0.7516,0.97
WeightedEnsemble_L2,0.7832,0.7925196434655345,0.7832,0.7
KNeighborsUnif,0.3544,0.12983940498180802,0.3544,0.85
KNeighborsDist,0.3543,0.1298161594787048,0.3543,0.99
NeuralNetFastAI,0.7877,0.792903690226381,0.7877,0.97
LightGBMXT,0.7508,0.7614902630731974,0.7508,0.97
LightGBM,0.7546,0.7661378995468237,0.7546,0.99
RandomForestGini,0.7556,0.7663627004652221,0.7556,0.65
RandomForestEntr,0.7483,0.7561100952750794,0.7483,0.65
CatBoost,0.7662,0.7718073923611072,0.7662,0.9
ExtraTreesGini,0.7431,0.7587423163139734,0.7431,0.65
ExtraTreesEntr,0.7425,0.756599955124977,0.7425,0.65
XGBoost,0.7597,0.7668833108235195,0.7597,0.97
