model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9757845995541073,0.9772,accuracy,1.539536714553833,0.5763731002807617,395.08062624931335,0.00951075553894043,0.0009109973907470703,0.1807868480682373,2,True,14
NeuralNetFastAI,0.9745498199279712,0.9748,accuracy,0.2931034564971924,0.08334612846374512,176.04607915878296,0.2931034564971924,0.08334612846374512,176.04607915878296,1,True,3
NeuralNetTorch,0.9734865374721318,0.9728,accuracy,0.34342360496520996,0.07762932777404785,205.0951337814331,0.34342360496520996,0.07762932777404785,205.0951337814331,1,True,12
LightGBM,0.9705367861430286,0.9716,accuracy,1.1804027557373047,0.07130908966064453,53.122533082962036,1.1804027557373047,0.07130908966064453,53.122533082962036,1,True,5
LightGBMXT,0.9701937918024353,0.9696,accuracy,1.1112256050109863,0.08321166038513184,198.13083720207214,1.1112256050109863,0.08321166038513184,198.13083720207214,1,True,4
CatBoost,0.9694049048190705,0.97,accuracy,0.21562600135803223,0.0076372623443603516,160.60037875175476,0.21562600135803223,0.0076372623443603516,160.60037875175476,1,True,8
XGBoost,0.9691305093465958,0.9692,accuracy,0.5546970367431641,0.06291866302490234,50.03219819068909,0.5546970367431641,0.06291866302490234,50.03219819068909,1,True,11
LightGBMLarge,0.9669353455667982,0.9656,accuracy,0.6743769645690918,0.058307647705078125,79.4968056678772,0.6743769645690918,0.058307647705078125,79.4968056678772,1,True,13
RandomForestGini,0.9471788715486195,0.9476,accuracy,6.877361059188843,0.07153677940368652,16.786491632461548,6.877361059188843,0.07153677940368652,16.786491632461548,1,True,6
RandomForestEntr,0.9465614817355513,0.9508,accuracy,3.652902841567993,0.07094883918762207,18.001652240753174,3.652902841567993,0.07094883918762207,18.001652240753174,1,True,7
ExtraTreesGini,0.9387412107700223,0.9404,accuracy,6.521904230117798,0.058244943618774414,2.4953575134277344,6.521904230117798,0.058244943618774414,2.4953575134277344,1,True,9
ExtraTreesEntr,0.9379523237866575,0.9408,accuracy,6.390989542007446,0.06951212882995605,2.622945785522461,6.390989542007446,0.06951212882995605,2.622945785522461,1,True,10
KNeighborsDist,0.24928828674326875,0.2528,accuracy,1.9337854385375977,0.10179328918457031,0.31900477409362793,1.9337854385375977,0.10179328918457031,0.31900477409362793,1,True,2
KNeighborsUnif,0.2311438861258789,0.2364,accuracy,0.8934988975524902,0.4144866466522217,13.758626461029053,0.8934988975524902,0.4144866466522217,13.758626461029053,1,True,1
