model,accuracy_score_Train,accuracy_score_Test,f1_score_Train,f1_score_Test,f1_score_PerClass_Train,f1_score_PerClass_Test,confusion_matrix_Train,confusion_matrix_Test
RandomForestClassifier,1.0,0.9465957811696107,1.0,0.9465288972356541,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.94517569 0.93184763 0.88768665 0.93932131 0.94615385 0.92833333
 0.94156928 0.97641079 0.94848206 0.95805648]","[[30486     0     0     0     0     0     0     0     0     0]
 [    0 30486     0     0     0     0     0     0     0     0]
 [    0     0 30486     0     0     0     0     0     0     0]
 [    0     0     0 30486     0     0     0     0     0     0]
 [    0     0     0     0 30486     0     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0     0     0     0 30486     0     0     0]
 [    0     0     0     0     0     0     0 30486     0     0]
 [    0     0     0     0     0     0     0     0 30486     0]
 [    0     0     0     0     0     0     0     0     0 30486]]","[[4129   14   12   41    0   91    1   76    3    0]
 [  10 1798   96    0    4    2    4    0    3    1]
 [  15  115 2051    8    1   49   16    2   29   22]
 [  25    0    7 3723    0   11   16  116    9   30]
 [   0    6    3    0  123    0    0    0    0    0]
 [ 139    4   59   47    0 2785    1    9    2    7]
 [   5    3   32   22    0    3 1128    1    8   19]
 [  35    0    3   84    0    3    0 7492    5    0]
 [   8    1   29   43    0    2    1   21 2062   10]
 [   4    0   21   22    0    1    8    7   50 2307]]"
AdaBoostClassifier,0.6481762120317522,0.6701423426513462,0.6466314518494941,0.661596211354666,"[0.67698781 0.66397269 0.58116652 0.45464267 0.93299729 0.6421263
 0.63063491 0.63638827 0.75612796 0.4912701 ]","[0.68771197 0.67083008 0.61647059 0.49640794 0.81632653 0.62126575
 0.57908847 0.79388422 0.76457455 0.49370425]","[[18825  1438   597  1135     3  7395    54  1025    12     2]
 [  340 20128  9241     4   521    66    84    19    79     4]
 [  209  3409 22474   224   104  2202   310    65  1443    46]
 [   75     0    23 12755     0  1567   221 15652   137    56]
 [    0  3277     0     0 27209     0     0     0     0     0]
 [ 4626   390  2493   784     3 21683    42   193   266     6]
 [  278  1350  7683   910     0   787 15927  3294   111   146]
 [  586     6     4  2308     0   386    45 27008   104    39]
 [   79   110  3470   870     0  2695   108   259 20930  1965]
 [  110    35   870  6634     0   268  3234  6878  1793 10664]]","[[2636  242   86  142    0 1093   16  148    3    1]
 [  23 1289  552    1   35    4    6    0    8    0]
 [  17  260 1703   23    7  185   21    3   86    3]
 [  12    0    6 1762    0  213   28 1898   13    5]
 [   0   12    0    0  120    0    0    0    0    0]
 [ 426   59  261   72    0 2194    5   18   18    0]
 [   9   53  312   36    0   33  648  118    6    6]
 [ 160    0    1  513    0  101   14 6802   26    5]
 [   5    8  227   75    0  166   11   12 1541  132]
 [  11    2   69  538    0   21  268  515  153  843]]"
KNeighborsClassifier,0.9943285442498195,0.9067055393586005,0.9943172291434035,0.9068467104178408,"[0.98935549 0.99882037 0.9961677  0.98731587 1.         0.99301989
 0.99978683 0.981415   0.99885167 0.99843948]","[0.90228597 0.89490114 0.81661953 0.89444859 0.9389313  0.87116155
 0.90644491 0.9484098  0.90462232 0.94533221]","[[30486     0     0     0     0     0     0     0     0     0]
 [    4 30482     0     0     0     0     0     0     0     0]
 [   13    60 30413     0     0     0     0     0     0     0]
 [   72     0    18 30396     0     0     0     0     0     0]
 [    0     0     0     0 30486     0     0     0     0     0]
 [  211     7    63    45     0 30160     0     0     0     0]
 [    0     0     0     0     0     0 30486     0     0     0]
 [  348     1    50   609     0    90     1 29387     0     0]
 [    2     0    15    11     0     4     3     7 30444     0]
 [    6     0    15    26     0     4     9     7    28 30391]]","[[4026   15   26   43    0  163    0   84    9    1]
 [  24 1720  153    2    7    6    2    0    3    1]
 [  28  170 1877   11    0   72   40    2   86   22]
 [  47    0   12 3593    0   45   26  159   35   20]
 [   0    5    4    0  123    0    0    0    0    0]
 [ 275    9   75   52    0 2610    5   16    8    3]
 [   4    4   39   35    0    6 1090    0   21   22]
 [ 130    0   22  280    0   29    2 7142   17    0]
 [  17    1   48   46    0    8    4   28 2006   19]
 [   6    2   33   35    0    0   15    8   73 2248]]"
AutoXGBoost,0.9278455684576526,0.9063282455839479,0.9278862569972816,0.9064065766173826,"[0.89862933 0.92438045 0.86364159 0.91750295 0.99677941 0.89053294
 0.95604012 0.94357929 0.93598894 0.95178755]","[0.89547762 0.88441955 0.82432432 0.89731082 0.93632959 0.86290056
 0.9030426  0.95735847 0.90648127 0.9310418 ]","[[27503   166    73   481     0  1571    15   627    41     9]
 [  153 28311  1633     9   163    79    82     2    50     4]
 [  201  2080 26313    84    34   747   300    16   558   153]
 [  311     2    88 28388     0   235   222   943   147   150]
 [    0     0     0     0 30486     0     0     0     0     0]
 [ 1859   125   665   579     0 26903    25    97   200    33]
 [  123    54   651   440     0   128 28740    26   141   183]
 [  349     0    15   700     0    84    16 29175   136    11]
 [  142     5   533   410     0   152    60   306 28784    94]
 [   84    25   478   304     0    35   177   161   962 28260]]","[[3881   27    9   76    0  256    7  103    8    0]
 [  17 1737  141    0    8    6    7    0    1    1]
 [  26  207 1891   12    2   61   28    2   59   20]
 [  42    0   17 3587    0   35   40  136   33   47]
 [   0    4    2    0  125    0    1    0    0    0]
 [ 225   24   98   63    0 2612    4   12    9    6]
 [  11    7   32   26    0    3 1113    1   15   13]
 [  85    0    5  213    0   16    6 7263   32    2]
 [   7    2   51   47    0    7   12   20 2021   10]
 [   7    2   34   34    0    5   26   14  104 2194]]"
AutoLGBM,1.0,0.9685131195335277,1.0,0.9685162876779263,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.97104269 0.96141814 0.93370762 0.95940494 0.97358491 0.96559709
 0.96023198 0.98561527 0.96097337 0.97812044]","[[30486     0     0     0     0     0     0     0     0     0]
 [    0 30486     0     0     0     0     0     0     0     0]
 [    0     0 30486     0     0     0     0     0     0     0]
 [    0     0     0 30486     0     0     0     0     0     0]
 [    0     0     0     0 30486     0     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0     0     0     0 30486     0     0     0]
 [    0     0     0     0     0     0     0 30486     0     0]
 [    0     0     0     0     0     0     0     0 30486     0]
 [    0     0     0     0     0     0     0     0     0 30486]]","[[4242    4    4   28    0   33    0   53    3    0]
 [   4 1844   63    0    2    1    2    0    2    0]
 [  11   60 2162   11    2   22   10    2   21    7]
 [  19    0   10 3805    0    8   13   56   14   12]
 [   0    2    1    0  129    0    0    0    0    0]
 [  53    3   30   37    0 2919    1    3    5    2]
 [   3    5   16   20    0    3 1159    0    9    6]
 [  32    0    0   46    0    2    0 7537    5    0]
 [   5    0   19   32    0    5    3   15 2093    5]
 [   1    0   18   16    0    0    5    6   27 2347]]"
AutoSKLearn,0.1,0.14978562853712915,0.01818181818181818,0.0390259435488123,"[0.18181818 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.26054531 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[[30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]
 [30486     0     0     0     0     0     0     0     0     0]]","[[4367    0    0    0    0    0    0    0    0    0]
 [1918    0    0    0    0    0    0    0    0    0]
 [2308    0    0    0    0    0    0    0    0    0]
 [3937    0    0    0    0    0    0    0    0    0]
 [ 132    0    0    0    0    0    0    0    0    0]
 [3053    0    0    0    0    0    0    0    0    0]
 [1221    0    0    0    0    0    0    0    0    0]
 [7622    0    0    0    0    0    0    0    0    0]
 [2177    0    0    0    0    0    0    0    0    0]
 [2420    0    0    0    0    0    0    0    0    0]]"
AutoKeras,0.1007216427212491,0.10560795746870176,0.01965224684556251,0.02165257961375191,"[0.         0.         0.         0.01446701 0.         0.18205546
 0.         0.         0.         0.        ]","[0.         0.         0.         0.01289363 0.         0.19014699
 0.         0.         0.         0.        ]","[[    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0   224     0 30262     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0     4     0 30482     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0   206     0 30280     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0    47     0 30439     0     0     0     0]]","[[   0    0    0    1    0 4366    0    0    0    0]
 [   0    0    0    0    0 1918    0    0    0    0]
 [   0    0    0    0    0 2308    0    0    0    0]
 [   0    0    0   26    0 3911    0    0    0    0]
 [   0    0    0    0    0  132    0    0    0    0]
 [   0    0    0    0    0 3053    0    0    0    0]
 [   0    0    0    0    0 1221    0    0    0    0]
 [   0    0    0   68    0 7554    0    0    0    0]
 [   0    0    0    0    0 2177    0    0    0    0]
 [   0    0    0    1    0 2419    0    0    0    0]]"
GradientBoostingClassifier,0.9592862297448009,0.9446407134282284,0.9593339995920879,0.9447508161296766,"[0.95280405 0.95876018 0.91937586 0.94385748 0.99909876 0.95229918
 0.96952434 0.96568539 0.95864353 0.97329122]","[0.94471787 0.93874386 0.89234088 0.93304699 0.94117647 0.9346103
 0.93053312 0.9715079  0.93690852 0.96153846]","[[29061    70   106   316     0   592    11   271    55     4]
 [   86 29200  1014     0    37    21    78     0    42     8]
 [   51  1030 28223    83    18   325   285     8   287   176]
 [  203     4    57 29034     0   111   262   515   178   122]
 [    0     0     0     0 30486     0     0     0     0     0]
 [  652    51   423   380     0 28838    19    31    72    20]
 [   65    61   374   256     0    61 29443    17    70   139]
 [  289     0    25   475     0    37     4 29507   147     2]
 [   68    10   418   354     0    76    47   199 29230    84]
 [   40     0   270   138     0    18   102    77   415 29426]]","[[4127   11   16   48    0   98    2   56    9    0]
 [   4 1816   81    0    8    0    4    0    4    1]
 [  10  113 2068    6    4   37   22    2   34   12]
 [  35    0    9 3693    0   19   53   72   29   27]
 [   0    3    1    0  128    0    0    0    0    0]
 [  92    4   62   47    0 2830    1    7    7    3]
 [   5    4   23   13    0    4 1152    0   10   10]
 [  91    0   11  125    0    7    2 7348   36    2]
 [   3    0   29   34    0    7    5   11 2079    9]
 [   3    0   27   13    0    1   14    9   53 2300]]"
MLPClassifier,0.9848094207177065,0.9592179729034471,0.9848123903447613,0.9593035264951605,"[0.97469529 0.98448052 0.97413779 0.97223908 0.9999344  0.9841892
 0.99382676 0.98320945 0.98592103 0.9954904 ]","[0.96123856 0.95008958 0.91979076 0.94783489 0.95849057 0.96215502
 0.94007338 0.97984166 0.94772573 0.9713343 ]","[[29948    43    64   120     0   220     5    59    22     5]
 [    3 30322   150     0     0     2     5     0     0     4]
 [    9   657 29587    42     4    31    50     5    72    29]
 [  302     1    60 29646     0    60    67    70   233    47]
 [    0     0     0     0 30486     0     0     0     0     0]
 [  232    33   150   152     0 29879     2     5    29     4]
 [    0    52   102    30     0     9 30266     0    23     4]
 [  414     0     4   334     0    14     1 29630    59    30]
 [   55     6    84   169     0    17     7    17 30112    19]
 [    2     0    58     6     0     0    19     0    48 30353]]","[[4253    7   10   31    0   36    2   18    5    5]
 [   2 1856   49    0    4    1    3    0    3    0]
 [   8  105 2110   11    1   18   21    3   20   11]
 [  36    0   15 3743    0   19   26   13   65   20]
 [   0    3    2    0  127    0    0    0    0    0]
 [  45   10   39   37    0 2911    4    1    6    0]
 [   3    6   19   17    1    4 1153    0    8   10]
 [ 130    1    0   90    0    3    1 7364   18   15]
 [   5    1   19   27    0    5    4    9 2094   13]
 [   0    0   17    5    0    1   18    1   23 2355]]"
XGBClassifier,1.0,0.9709483793517407,1.0,0.9709653809424539,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.97326936 0.96531943 0.93990489 0.95896274 0.96654275 0.96968693
 0.96201486 0.98649535 0.96694215 0.98150841]","[[30486     0     0     0     0     0     0     0     0     0]
 [    0 30486     0     0     0     0     0     0     0     0]
 [    0     0 30486     0     0     0     0     0     0     0]
 [    0     0     0 30486     0     0     0     0     0     0]
 [    0     0     0     0 30486     0     0     0     0     0]
 [    0     0     0     0     0 30486     0     0     0     0]
 [    0     0     0     0     0     0 30486     0     0     0]
 [    0     0     0     0     0     0     0 30486     0     0]
 [    0     0     0     0     0     0     0     0 30486     0]
 [    0     0     0     0     0     0     0     0     0 30486]]","[[4260    4    3   32    0   22    0   44    2    0]
 [   2 1851   53    1    4    1    3    0    3    0]
 [   9   55 2174   13    2   15   10    1   21    8]
 [  25    0   11 3809    1   11   12   45   15    8]
 [   0    2    0    0  130    0    0    0    0    0]
 [  50    2   32   32    0 2927    1    4    4    1]
 [   4    3   16   18    0    4 1165    1    5    5]
 [  31    0    0   59    0    1    0 7524    6    1]
 [   4    0   12   31    0    3    4    9 2106    8]
 [   2    0   17   12    0    0    6    4   17 2362]]"
